heatsinks_bottom_coefficient,heatsinks_top_coefficient,layers_bottomlayer_power,layers_bottomlayer_sourcetier,layers_bottomlayer_tiers_beol,layers_bottomlayer_tiers_si,layers_bottomlayer_tiers_sio2,layers_compute_power,layers_compute_sourcetier,layers_compute_tiers_beol,layers_compute_tiers_sio2,layers_memory_power,layers_memory_sourcetier,layers_memory_tiers_beol,layers_memory_tiers_beol2,layers_memory_tiers_rram,layers_memory_tiers_sio2,materials_beol_C,materials_beol_k,materials_beol2_C,materials_beol2_k,materials_rram_C,materials_rram_k,materials_si_C,materials_si_k,materials_sio2_C,materials_sio2_k,ncompute,nmemory,nrepeats,T
10,20000.0,75,1,1,48,1,75,0,1,1,7,0,1,1,6,1,1496000.0,2,1496000.0,2,1496000.0,2,1628000.0,130,1496000.0,1.1,0,1,1,341.75
10,20000.0,75,1,1,48,1,75,0,1,1,7,0,1,1,6,1,1496000.0,2,1496000.0,2,1496000.0,2,1628000.0,130,1496000.0,1.1,0,2,1,345.75
10,20000.0,75,1,1,48,1,75,0,1,1,7,0,1,1,6,1,1496000.0,2,1496000.0,2,1496000.0,2,1628000.0,130,1496000.0,1.1,0,3,1,350.09
10,20000.0,75,1,1,48,1,75,0,1,1,7,0,1,1,6,1,1496000.0,2,1496000.0,2,1496000.0,2,1628000.0,130,1496000.0,1.1,0,4,1,354.77
10,20000.0,75,1,1,48,1,75,0,1,1,7,0,1,1,6,1,1496000.0,2,1496000.0,2,1496000.0,2,1628000.0,130,1496000.0,1.1,0,5,1,359.79
10,20000.0,75,1,1,48,1,75,0,1,1,7,0,1,1,6,1,1496000.0,2,1496000.0,2,1496000.0,2,1628000.0,130,1496000.0,1.1,0,6,1,365.16
10,20000.0,75,1,1,48,1,75,0,1,1,7,0,1,1,6,1,1496000.0,2,1496000.0,2,1496000.0,2,1628000.0,130,1496000.0,1.1,1,1,1,381.00
10,20000.0,75,1,1,48,1,75,0,1,1,7,0,1,1,6,1,1496000.0,2,1496000.0,2,1496000.0,2,1628000.0,130,1496000.0,1.1,1,2,1,385.10
10,20000.0,75,1,1,48,1,75,0,1,1,7,0,1,1,6,1,1496000.0,2,1496000.0,2,1496000.0,2,1628000.0,130,1496000.0,1.1,1,3,1,389.53
10,20000.0,75,1,1,48,1,75,0,1,1,7,0,1,1,6,1,1496000.0,2,1496000.0,2,1496000.0,2,1628000.0,130,1496000.0,1.1,1,4,1,394.31
10,20000.0,75,1,1,48,1,75,0,1,1,7,0,1,1,6,1,1496000.0,2,1496000.0,2,1496000.0,2,1628000.0,130,1496000.0,1.1,1,5,1,399.43
10,20000.0,75,1,1,48,1,75,0,1,1,7,0,1,1,6,1,1496000.0,2,1496000.0,2,1496000.0,2,1628000.0,130,1496000.0,1.1,1,6,1,404.89
10,20000.0,75,1,1,48,1,75,0,1,1,7,0,1,1,6,1,1496000.0,2,1496000.0,2,1496000.0,2,1628000.0,130,1496000.0,1.1,2,1,1,421.31
10,20000.0,75,1,1,48,1,75,0,1,1,7,0,1,1,6,1,1496000.0,2,1496000.0,2,1496000.0,2,1628000.0,130,1496000.0,1.1,2,2,1,425.50
10,20000.0,75,1,1,48,1,75,0,1,1,7,0,1,1,6,1,1496000.0,2,1496000.0,2,1496000.0,2,1628000.0,130,1496000.0,1.1,2,3,1,430.03
10,20000.0,75,1,1,48,1,75,0,1,1,7,0,1,1,6,1,1496000.0,2,1496000.0,2,1496000.0,2,1628000.0,130,1496000.0,1.1,2,4,1,434.91
10,20000.0,75,1,1,48,1,75,0,1,1,7,0,1,1,6,1,1496000.0,2,1496000.0,2,1496000.0,2,1628000.0,130,1496000.0,1.1,2,5,1,440.12
10,20000.0,75,1,1,48,1,75,0,1,1,7,0,1,1,6,1,1496000.0,2,1496000.0,2,1496000.0,2,1628000.0,130,1496000.0,1.1,2,6,1,445.68
