heatsinks_bottom_coefficient,heatsinks_top_coefficient,layers_bottomlayer_power,layers_bottomlayer_sourcetier,layers_bottomlayer_tiers_beol,layers_bottomlayer_tiers_si,layers_bottomlayer_tiers_sio2,layers_compute_power,layers_compute_sourcetier,layers_compute_tiers_beol,layers_compute_tiers_interthermal,layers_compute_tiers_sio2,layers_memory_power,layers_memory_sourcetier,layers_memory_tiers_beol,layers_memory_tiers_beol2,layers_memory_tiers_interthermal,layers_memory_tiers_mem,layers_memory_tiers_sio2,materials_beol_C,materials_beol_k,materials_beol2_C,materials_beol2_k,materials_interthermal_C,materials_interthermal_k,materials_mem_C,materials_mem_k,materials_si_C,materials_si_k,materials_sio2_C,materials_sio2_k,ncompute,nmemory,nrepeats,T
10,200000.0,100,1,4.0,50,0.1,100,1,4.0,1,0.1,7,1,4.0,4.0,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,0,1,2,33.78000000000003
10,200000.0,100,1,4.0,50,0.1,100,1,4.0,1,0.1,7,1,4.0,4.0,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,0,3,2,40.379999999999995
10,200000.0,100,1,4.0,50,0.1,100,1,4.0,1,0.1,7,1,4.0,4.0,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,0,7,2,67.99000000000001
10,200000.0,100,1,4.0,50,0.1,100,1,4.0,1,0.1,7,1,4.0,4.0,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,0,10,2,101.30000000000001
10,200000.0,100,1,4.0,50,0.1,100,1,4.0,1,0.1,7,1,4.0,4.0,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,1,1,2,57.73000000000002
10,200000.0,100,1,4.0,50,0.1,100,1,4.0,1,0.1,7,1,4.0,4.0,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,1,3,2,73.79000000000002
10,200000.0,100,1,4.0,50,0.1,100,1,4.0,1,0.1,7,1,4.0,4.0,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,1,7,2,120.30000000000001
10,200000.0,100,1,4.0,50,0.1,100,1,4.0,1,0.1,7,1,4.0,4.0,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,1,10,2,167.77000000000004
10,200000.0,100,1,4.0,50,0.1,100,1,4.0,1,0.1,7,1,4.0,4.0,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,2,1,2,90.04000000000002
10,200000.0,100,1,4.0,50,0.1,100,1,4.0,1,0.1,7,1,4.0,4.0,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,2,3,2,115.55000000000001
10,200000.0,100,1,4.0,50,0.1,100,1,4.0,1,0.1,7,1,4.0,4.0,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,2,7,2,180.96000000000004
10,200000.0,100,1,4.0,50,0.1,100,1,4.0,1,0.1,7,1,4.0,4.0,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,2,10,2,242.60000000000002
