,heatsinks_bottom_coefficient,heatsinks_top_coefficient,layers_bottomlayer_power,layers_bottomlayer_sourcetier,layers_bottomlayer_tiers_beol,layers_bottomlayer_tiers_si,layers_bottomlayer_tiers_sio2,layers_compute_power,layers_compute_sourcetier,layers_compute_tiers_beol,layers_compute_tiers_interthermal,layers_compute_tiers_sio2,layers_memory_power,layers_memory_sourcetier,layers_memory_tiers_beol,layers_memory_tiers_beol2,layers_memory_tiers_interthermal,layers_memory_tiers_mem,layers_memory_tiers_sio2,materials_beol_C,materials_beol_k,materials_beol2_C,materials_beol2_k,materials_interthermal_C,materials_interthermal_k,materials_mem_C,materials_mem_k,materials_si_C,materials_si_k,materials_sio2_C,materials_sio2_k,ncompute,nmemory,nrepeats,T
15886,10,200000.0,100,1,1,50,0.1,100,1,1,1,0.1,4,1,1,1,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,3,1628000.0,130,1496000.0,1.1,1,1,2,40.43000000000001
15889,10,200000.0,100,1,1,50,0.1,100,1,1,1,0.1,4,1,1,1,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,3,1628000.0,130,1496000.0,1.1,1,3,2,44.710000000000036
15892,10,200000.0,100,1,1,50,0.1,100,1,1,1,0.1,4,1,1,1,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,3,1628000.0,130,1496000.0,1.1,1,7,2,55.670000000000016
15967,10,200000.0,100,1,1,50,0.1,100,1,1,1,0.1,4,1,1,1,1,0.5,0.1,1496000.0,4,1496000.0,4,1496000.0,1,1496000.0,3,1628000.0,130,1496000.0,1.1,1,1,2,39.5
15970,10,200000.0,100,1,1,50,0.1,100,1,1,1,0.1,4,1,1,1,1,0.5,0.1,1496000.0,4,1496000.0,4,1496000.0,1,1496000.0,3,1628000.0,130,1496000.0,1.1,1,3,2,42.410000000000025
15973,10,200000.0,100,1,1,50,0.1,100,1,1,1,0.1,4,1,1,1,1,0.5,0.1,1496000.0,4,1496000.0,4,1496000.0,1,1496000.0,3,1628000.0,130,1496000.0,1.1,1,7,2,49.700000000000045
16048,10,200000.0,100,1,1,50,0.1,100,1,1,1,0.1,4,1,1,1,1,0.5,0.1,1496000.0,8,1496000.0,8,1496000.0,1,1496000.0,3,1628000.0,130,1496000.0,1.1,1,1,2,39.03000000000003
16051,10,200000.0,100,1,1,50,0.1,100,1,1,1,0.1,4,1,1,1,1,0.5,0.1,1496000.0,8,1496000.0,8,1496000.0,1,1496000.0,3,1628000.0,130,1496000.0,1.1,1,3,2,41.27000000000004
16054,10,200000.0,100,1,1,50,0.1,100,1,1,1,0.1,4,1,1,1,1,0.5,0.1,1496000.0,8,1496000.0,8,1496000.0,1,1496000.0,3,1628000.0,130,1496000.0,1.1,1,7,2,46.710000000000036
16129,10,200000.0,100,1,1,50,0.1,100,1,1,1,0.1,4,1,1,1,1,0.5,0.1,1496000.0,16,1496000.0,16,1496000.0,1,1496000.0,3,1628000.0,130,1496000.0,1.1,1,1,2,38.80000000000001
16132,10,200000.0,100,1,1,50,0.1,100,1,1,1,0.1,4,1,1,1,1,0.5,0.1,1496000.0,16,1496000.0,16,1496000.0,1,1496000.0,3,1628000.0,130,1496000.0,1.1,1,3,2,40.69
16135,10,200000.0,100,1,1,50,0.1,100,1,1,1,0.1,4,1,1,1,1,0.5,0.1,1496000.0,16,1496000.0,16,1496000.0,1,1496000.0,3,1628000.0,130,1496000.0,1.1,1,7,2,45.22000000000003
