heatsinks_bottom_coefficient,heatsinks_top_coefficient,layers_bottomlayer_power,layers_bottomlayer_sourcetier,layers_bottomlayer_tiers_beol,layers_bottomlayer_tiers_si,layers_bottomlayer_tiers_sio2,layers_compute_power,layers_compute_sourcetier,layers_compute_tiers_beol,layers_compute_tiers_interthermal,layers_compute_tiers_sio2,layers_memory_power,layers_memory_sourcetier,layers_memory_tiers_beol,layers_memory_tiers_beol2,layers_memory_tiers_interthermal,layers_memory_tiers_mem,layers_memory_tiers_sio2,materials_beol_C,materials_beol_k,materials_beol2_C,materials_beol2_k,materials_interthermal_C,materials_interthermal_k,materials_mem_C,materials_mem_k,materials_si_C,materials_si_k,materials_sio2_C,materials_sio2_k,ncompute,nmemory,nrepeats,T
10,200000.0,100,1,4.0,50,0.1,100,1,4.0,1,0.1,4,1,4.0,4.0,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,1,10,2,155.94
10,200000.0,100,1,4.0,50,0.1,100,1,4.0,1,0.1,4,1,4.0,4.0,1,0.5,0.1,1496000.0,6,1496000.0,6,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,1,10,2,102.44
10,200000.0,100,1,4.0,50,0.1,100,1,4.0,1,0.1,4,1,4.0,4.0,1,0.5,0.1,1496000.0,10,1496000.0,10,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,1,10,2,91.74000000000001
100,200000.0,100,1,4.0,50,0.1,100,1,4.0,1,0.1,4,1,4.0,4.0,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,1,10,2,154.61
100,200000.0,100,1,4.0,50,0.1,100,1,4.0,1,0.1,4,1,4.0,4.0,1,0.5,0.1,1496000.0,6,1496000.0,6,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,1,10,2,102.03000000000003
100,200000.0,100,1,4.0,50,0.1,100,1,4.0,1,0.1,4,1,4.0,4.0,1,0.5,0.1,1496000.0,10,1496000.0,10,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,1,10,2,91.45000000000005
1000,200000.0,100,1,4.0,50,0.1,100,1,4.0,1,0.1,4,1,4.0,4.0,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,1,10,2,142.78000000000003
1000,200000.0,100,1,4.0,50,0.1,100,1,4.0,1,0.1,4,1,4.0,4.0,1,0.5,0.1,1496000.0,6,1496000.0,6,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,1,10,2,98.17000000000002
1000,200000.0,100,1,4.0,50,0.1,100,1,4.0,1,0.1,4,1,4.0,4.0,1,0.5,0.1,1496000.0,10,1496000.0,10,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,1,10,2,88.70000000000005
3110,200000.0,100,1,4.0,50,0.1,100,1,4.0,1,0.1,4,1,4.0,4.0,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,1,10,2,122.31
3110,200000.0,100,1,4.0,50,0.1,100,1,4.0,1,0.1,4,1,4.0,4.0,1,0.5,0.1,1496000.0,6,1496000.0,6,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,1,10,2,90.54000000000002
3110,200000.0,100,1,4.0,50,0.1,100,1,4.0,1,0.1,4,1,4.0,4.0,1,0.5,0.1,1496000.0,10,1496000.0,10,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,1,10,2,83.11000000000001
