,heatsinks_bottom_coefficient,heatsinks_top_coefficient,layers_bottomlayer_power,layers_bottomlayer_sourcetier,layers_bottomlayer_tiers_beol,layers_bottomlayer_tiers_si,layers_bottomlayer_tiers_sio2,layers_compute_power,layers_compute_sourcetier,layers_compute_tiers_beol,layers_compute_tiers_sio2,layers_memory_power,layers_memory_sourcetier,layers_memory_tiers_beol,layers_memory_tiers_beol2,layers_memory_tiers_rram,layers_memory_tiers_sio2,materials_beol2_C,materials_beol2_k,materials_beol_C,materials_beol_k,materials_rram_C,materials_rram_k,materials_si_C,materials_si_k,materials_sio2_C,materials_sio2_k,ncompute,ncompute_grad,nmemory,nmemory_grad,nrepeats,nrepeats_grad
0,10.0,20000.0,75.0,1.0,1.0,48.0,1.0,75.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,6.0,1.0,1496000.0,2.0,1496000.0,2.0,1496000.0,2.0,1628000.0,130.0,1496000.0,1.1,1.0,0.0,3.0,8.339999999999975,2.0,73.88999999999999
1,10.0,20000.0,75.0,1.0,1.0,48.0,1.0,75.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,6.0,1.0,1496000.0,2.0,1496000.0,2.0,1496000.0,2.0,1628000.0,130.0,1496000.0,1.1,1.0,42.93000000000001,3.0,69.88999999999999,3.0,150.89
2,10.0,20000.0,75.0,1.0,1.0,48.0,1.0,75.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,6.0,1.0,1496000.0,2.0,1496000.0,2.0,1496000.0,2.0,1628000.0,130.0,1496000.0,1.1,1.0,90.68,3.0,146.55,3.0,
3,10.0,20000.0,75.0,1.0,1.0,48.0,1.0,75.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,6.0,1.0,1496000.0,2.0,1496000.0,2.0,1496000.0,2.0,1628000.0,130.0,1496000.0,1.1,1.0,0.0,5.0,9.700000000000045,2.0,97.99000000000001
4,10.0,20000.0,75.0,1.0,1.0,48.0,1.0,75.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,6.0,1.0,1496000.0,2.0,1496000.0,2.0,1496000.0,2.0,1628000.0,130.0,1496000.0,1.1,1.0,50.47999999999996,5.0,82.91999999999996,3.0,199.67000000000002
5,10.0,20000.0,75.0,1.0,1.0,48.0,1.0,75.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,6.0,1.0,1496000.0,2.0,1496000.0,2.0,1496000.0,2.0,1628000.0,130.0,1496000.0,1.1,1.0,113.32,5.0,181.51000000000005,3.0,
6,10.0,20000.0,75.0,1.0,1.0,48.0,1.0,75.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,6.0,1.0,1496000.0,2.0,1496000.0,2.0,1496000.0,2.0,1628000.0,130.0,1496000.0,1.1,1.0,0.0,5.0,,2.0,88.28999999999996
7,10.0,20000.0,75.0,1.0,1.0,48.0,1.0,75.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,6.0,1.0,1496000.0,2.0,1496000.0,2.0,1496000.0,2.0,1628000.0,130.0,1496000.0,1.1,1.0,58.01999999999998,5.0,,3.0,174.77000000000004
8,10.0,20000.0,75.0,1.0,1.0,48.0,1.0,75.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,6.0,1.0,1496000.0,2.0,1496000.0,2.0,1496000.0,2.0,1628000.0,130.0,1496000.0,1.1,1.0,135.94000000000005,5.0,,3.0,
9,10.0,20000.0,75.0,1.0,1.0,48.0,1.0,75.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,6.0,1.0,1496000.0,2.0,1496000.0,2.0,1496000.0,2.0,1628000.0,130.0,1496000.0,1.1,2.0,39.25,3.0,47.77999999999997,2.0,167.26
10,10.0,20000.0,75.0,1.0,1.0,48.0,1.0,75.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,6.0,1.0,1496000.0,2.0,1496000.0,2.0,1496000.0,2.0,1628000.0,130.0,1496000.0,1.1,2.0,85.44,3.0,120.32999999999998,3.0,269.73999999999995
11,10.0,20000.0,75.0,1.0,1.0,48.0,1.0,75.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,6.0,1.0,1496000.0,2.0,1496000.0,2.0,1496000.0,2.0,1628000.0,130.0,1496000.0,1.1,2.0,138.58000000000004,3.0,217.64999999999998,3.0,
12,10.0,20000.0,75.0,1.0,1.0,48.0,1.0,75.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,6.0,1.0,1496000.0,2.0,1496000.0,2.0,1496000.0,2.0,1628000.0,130.0,1496000.0,1.1,2.0,39.44,5.0,49.34000000000003,2.0,199.29000000000002
13,10.0,20000.0,75.0,1.0,1.0,48.0,1.0,75.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,6.0,1.0,1496000.0,2.0,1496000.0,2.0,1496000.0,2.0,1628000.0,130.0,1496000.0,1.1,2.0,93.37,5.0,133.74,3.0,334.15999999999997
14,10.0,20000.0,75.0,1.0,1.0,48.0,1.0,75.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,6.0,1.0,1496000.0,2.0,1496000.0,2.0,1496000.0,2.0,1628000.0,130.0,1496000.0,1.1,2.0,161.77999999999997,5.0,253.15999999999997,3.0,
15,10.0,20000.0,75.0,1.0,1.0,48.0,1.0,75.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,6.0,1.0,1496000.0,2.0,1496000.0,2.0,1496000.0,2.0,1628000.0,130.0,1496000.0,1.1,2.0,39.639999999999986,5.0,,2.0,189.58999999999997
16,10.0,20000.0,75.0,1.0,1.0,48.0,1.0,75.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,6.0,1.0,1496000.0,2.0,1496000.0,2.0,1496000.0,2.0,1628000.0,130.0,1496000.0,1.1,2.0,101.30000000000001,5.0,,3.0,301.71999999999997
17,10.0,20000.0,75.0,1.0,1.0,48.0,1.0,75.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,6.0,1.0,1496000.0,2.0,1496000.0,2.0,1496000.0,2.0,1628000.0,130.0,1496000.0,1.1,2.0,184.9699999999999,5.0,,3.0,
18,10.0,20000.0,75.0,1.0,1.0,48.0,1.0,75.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,6.0,1.0,1496000.0,2.0,1496000.0,2.0,1496000.0,2.0,1628000.0,130.0,1496000.0,1.1,2.0,,3.0,8.529999999999973,2.0,128.01
19,10.0,20000.0,75.0,1.0,1.0,48.0,1.0,75.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,6.0,1.0,1496000.0,2.0,1496000.0,2.0,1496000.0,2.0,1628000.0,130.0,1496000.0,1.1,2.0,,3.0,34.889999999999986,3.0,184.29999999999995
20,10.0,20000.0,75.0,1.0,1.0,48.0,1.0,75.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,6.0,1.0,1496000.0,2.0,1496000.0,2.0,1496000.0,2.0,1628000.0,130.0,1496000.0,1.1,2.0,,3.0,79.06999999999994,3.0,
21,10.0,20000.0,75.0,1.0,1.0,48.0,1.0,75.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,6.0,1.0,1496000.0,2.0,1496000.0,2.0,1496000.0,2.0,1628000.0,130.0,1496000.0,1.1,2.0,,5.0,9.900000000000034,2.0,159.85000000000002
22,10.0,20000.0,75.0,1.0,1.0,48.0,1.0,75.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,6.0,1.0,1496000.0,2.0,1496000.0,2.0,1496000.0,2.0,1628000.0,130.0,1496000.0,1.1,2.0,,5.0,40.370000000000005,3.0,240.78999999999996
23,10.0,20000.0,75.0,1.0,1.0,48.0,1.0,75.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,6.0,1.0,1496000.0,2.0,1496000.0,2.0,1496000.0,2.0,1628000.0,130.0,1496000.0,1.1,2.0,,5.0,91.38,3.0,
24,10.0,20000.0,75.0,1.0,1.0,48.0,1.0,75.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,6.0,1.0,1496000.0,2.0,1496000.0,2.0,1496000.0,2.0,1628000.0,130.0,1496000.0,1.1,2.0,,5.0,,2.0,149.95
25,10.0,20000.0,75.0,1.0,1.0,48.0,1.0,75.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,6.0,1.0,1496000.0,2.0,1496000.0,2.0,1496000.0,2.0,1628000.0,130.0,1496000.0,1.1,2.0,,5.0,,3.0,200.41999999999996
26,10.0,20000.0,75.0,1.0,1.0,48.0,1.0,75.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,6.0,1.0,1496000.0,2.0,1496000.0,2.0,1496000.0,2.0,1628000.0,130.0,1496000.0,1.1,2.0,,5.0,,3.0,
